RegionName,City,State,Metro,CountyName,SizeRank,3/1/2011,4/1/2011,5/1/2011,6/1/2011,7/1/2011,8/1/2011,9/1/2011,10/1/2011,11/1/2011,12/1/2011,1/1/2012,2/1/2012,3/1/2012,4/1/2012,5/1/2012,6/1/2012,7/1/2012,8/1/2012,9/1/2012,10/1/2012,11/1/2012,12/1/2012,1/1/2013,2/1/2013,3/1/2013,4/1/2013,5/1/2013,6/1/2013,7/1/2013,8/1/2013,9/1/2013,10/1/2013,11/1/2013,12/1/2013,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,8/1/2014,9/1/2014,10/1/2014,11/1/2014,12/1/2014,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015,12/1/2015,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016
77494,Cinco Ranch,TX,Houston,Fort Bend,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3125,3250,3362,3600,3300,3300,3100,3300,3400,3500,3000,3100,3275,3550,3525,3500,3500,3300,3150,3345,3475,3300,3200,3300,3300,3300,3700,3175,3200,3100,3200
11206,New York,NY,New York,Kings,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200,3875,4400,4500,4500,4500,4500,4500,4450,4000,4400,4000,4500,4000,4450,4500,5000,5000,4500,4500,4575,4500,4500,4500,4500,4595,4547.5,4790,4500,4500
11221,New York,NY,New York,Kings,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4199,4000,3999.5,4000,4000,3850,3995,4000,4000,3950,3850,3850,3900,4050,4200,4162.5,3700,4149.5,4800,4372.5,4200
2135,Boston,MA,Boston,Suffolk,4,2900,2700,2900,3000,3000,3000,2952,3200,3200,3000,3050,3000,3200,3400,3500,3400,3047.5,3200,3600,3500,3595,3500,3700,3500,3500,3500,3500,3600,3500,3500,3500,3600,3600,3700,3800,3750,3750,3750,3700,3600,3600,3600,3775,4000,3800,3775,3800,3837.5,3800,3800,3900,3800,3800,3800,3800,3725,3800,3800,3800,3995,4000,4000,4000,3995,4000,4000,4000
92880,Eastvale,CA,Riverside,Riverside,5,,,2497,2495,2495,2400,2472.5,2495,2487.5,2497.5,2500,2500,2495,2487,2450,2500,2500,2500,2450,2499,2499,2450,2495,2495,2400,2400,2450,2450,2500,2500,2500,2477.5,2400,2450,2492.5,2500,2495.5,2495,2500,2500,2500,2500,2500,2472.5,2500,2500,2500,2500,2550,2550,2600,2600,2600,2600,2600,2560,2650,2600,2600,2600,2600,2587.5,2600,2700,2625,2700,2697.5
2130,Boston,MA,Boston,Suffolk,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,3375,3600,3600,3600,3500,3400,3300,3200,3000,2912.5,3200,3000,3372.5,3550,3947.5,3750,3400,3550,3850,3500
2446,Brookline,MA,Boston,Norfolk,7,,,,,,,,,,3600,4100,4000,4000,4000,4200,3900,3600,3300,3400,3700,3700,3700,3800,3850,4000,3800,4000,3950,3950,3950,3750,3700,3700,3900,4500,4500,4500,4500,4500,4500,4500,4500,4500,4200,4000,4000,4000,4000,4200,4000,4000,4000,3850,3875,3850,3700,4000,4200,4800,4800,4649,4375,4600,4600,4500,4800,4500
2134,Boston,MA,Boston,Suffolk,8,,,,,,,,,,3800,3999,3800,3800,4000,4000,3900,3900,3900,3900,3900,3900,4000,4000,4000,4000,3900,3975,3975,3975,3900,3975,3975,3800,3900,4000,4000,4100,4150,4000,4000,3900,3875,3800,4000,4000,4197.5,4200,4200,4200,4000,4000,4000,3900,3900,3900,3900,4200,4350,4500,4500,4500,4500,4500,4500,4300,4250,4350
2445,Brookline,MA,Boston,Norfolk,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100,3460,3600,3460,3650,3460,3400,3300,3200,3100,3100,3047.5,3100,3200,3300,3500,3630,3800,3800,3900,3200,3350
2120,Boston,MA,Boston,Suffolk,10,,,,,,,,,,,4300,4100,4200,4600,4500,4500,4500,4500,4500,4600,4600,4800,4700,4700,4600,4800,4800,4800,4800,4700,4800,4800,5000,5000,4800,4800,4800,5000,4895,4800,4600,4700,4775,4800,4900,5000,4847.5,4850,4800,4800,4800,4600,4500,4500,4500,4700,4700,5000,5000,5000,5000,5000,4800,4800,4700,4750,4700